place_id,address_gu,address_dong,parking_available,parking_paid,reservation_available,toddler_friendly,preschool_friendly,lower_elementary_friendly,weekend_operation,price_level,discount_available,care_service_available,guardian_required,parking_difficulty,group_visit_available,program_role_play,program_media_play,safety_negative,food_allowed,program_active_play,program_creative_play,cleanliness_positive,spacious_positive,crowded_warning
sm240501,서대문구,북가좌동,yes,,yes,,yes,yes,no,low,yes,,yes,difficult,yes,,,yes,,,,yes,yes,yes
sm241101,서대문구,남가좌동,no,,yes,yes,,,no,low,,yes,yes,difficult,yes,,,yes,,,,yes,yes,yes
sm250101,서대문구,홍제3동,yes,,yes,yes,yes,,no,low,yes,yes,yes,difficult,yes,,,,,,,,,
sm250102,서대문구,천연동,yes,,yes,yes,yes,,yes,low,yes,yes,yes,difficult,yes,,,yes,,,,yes,yes,yes
sm251101,서대문구,남가좌동,,,yes,,,,no,low,,,yes,,,,,,,,,,,
sm260101,서대문구,홍제동,yes,,yes,yes,yes,,no,low,yes,yes,yes,limited,yes,,,,,,,yes,yes,
sp240401,송파구,잠실동,yes,,yes,,yes,yes,yes,low,yes,yes,yes,difficult,yes,,,,,yes,yes,,,
sp250301,송파구,송파동,yes,,yes,yes,,,no,low,yes,,,difficult,yes,yes,,,,,,,,
sp250401,송파구,거여동,yes,,yes,,yes,yes,yes,low,yes,yes,yes,easy,yes,,yes,,,yes,yes,,,
sp250402,송파구,방이동,yes,,yes,yes,yes,,no,low,yes,yes,yes,difficult,yes,yes,,,,yes,yes,,,
sp251101,송파구,문정동,yes,yes,yes,yes,yes,,yes,low,yes,yes,yes,easy,yes,yes,,yes,,yes,yes,yes,yes,yes
sp260101,송파구,방이동,yes,yes,yes,yes,,,no,free,,yes,yes,easy,yes,,,,,,,,,
sp260102,송파구,오금동,yes,,yes,yes,yes,,no,low,yes,,,difficult,yes,yes,,,,yes,,,,
yc221101,양천구,신정동,yes,,yes,yes,yes,,yes,low,yes,,yes,easy,yes,,yes,yes,,yes,yes,yes,yes,
yc231201,양천구,목동,yes,yes,yes,yes,yes,yes,no,low,yes,yes,yes,difficult,yes,,yes,yes,,yes,yes,yes,yes,yes
yc231206,양천구,목동,no,,yes,,yes,yes,yes,low,yes,yes,yes,easy,yes,,,yes,,,,yes,yes,yes
yc250201,양천구,,,,yes,yes,yes,,yes,low,yes,,yes,,yes,yes,yes,yes,,yes,yes,yes,yes,
yc250202,양천구,,yes,,yes,yes,yes,yes,no,low,yes,yes,yes,difficult,yes,,,yes,,,,yes,yes,
yc250501,양천구,신정동,yes,,yes,yes,yes,,no,low,yes,yes,yes,difficult,yes,,,yes,,,,yes,yes,
yc250603,양천구,신정동,,,yes,yes,yes,yes,yes,low,yes,yes,,,yes,,,yes,,,,yes,yes,yes
yc251003,양천구,신정동,,,yes,yes,,,yes,low,yes,,yes,,yes,,,yes,,yes,yes,yes,yes,yes
yc251204,양천구,신월동,,,yes,yes,yes,,yes,low,yes,,yes,,yes,,,,,,,yes,yes,
yc260201,양천구,목동,yes,,yes,yes,yes,,yes,low,yes,,yes,difficult,yes,,,yes,,,,yes,yes,
yf231001,영등포구,대림동,yes,,yes,yes,yes,,yes,low,yes,yes,yes,easy,yes,yes,yes,yes,,yes,yes,yes,yes,yes
yf241001,영등포구,신길동,no,,yes,yes,yes,,yes,low,yes,yes,yes,easy,yes,,,yes,,,,yes,yes,yes
yf260101,영등포구,여의도동,no,,yes,yes,yes,,yes,low,yes,,yes,easy,yes,,,,,,,yes,yes,
ys231001,용산구,,yes,yes,yes,,yes,yes,yes,low,yes,yes,yes,easy,yes,,,yes,,yes,yes,yes,yes,yes
ys241201,용산구,후암동,,,yes,yes,,,no,low,,yes,yes,,yes,,,,no,,,yes,yes,yes
